location_id,casualties,fatalities,year,position_id,day_bool,crashtype_id,dui_bool,drugs_bool
NURIOOTPA,1,1,2016,Not Divided,TRUE,Hit Object on Road,FALSE,FALSE
MURRAY BRIDGE,1,1,2016,Not Divided,TRUE,Hit Parked Vehicle,FALSE,FALSE
BORDERTOWN,2,1,2016,T-Junction,FALSE,Right Turn,FALSE,FALSE
MAITLAND,1,1,2016,Not Divided,FALSE,Hit Fixed Object,TRUE,TRUE
BURDETT,1,1,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,FALSE
CHAIN OF PONDS,5,1,2016,Not Divided,TRUE,Head On,FALSE,FALSE
WIRRAMINNA,5,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
MOUNT JAGGED,5,0,2016,Not Divided,TRUE,Head On,FALSE,FALSE
WAIKERIE,5,0,2016,Not Divided,TRUE,Head On,FALSE,FALSE
RUDALL,4,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
BALHANNAH,4,0,2016,Not Divided,TRUE,Head On,FALSE,TRUE
MIDDLETON,3,0,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
SALISBURY,4,0,2016,Cross Road,FALSE,Right Turn,FALSE,FALSE
ELIZABETH SOUTH,3,0,2016,Not Divided,FALSE,Head On,FALSE,TRUE
COOBER PEDY,3,0,2016,T-Junction,FALSE,Roll Over,TRUE,FALSE
PORT GAWLER,3,0,2016,Other,TRUE,Hit Pedestrian,FALSE,FALSE
RIVERTON,2,0,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,FALSE
CALIPH,2,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
MYPONGA,2,0,2016,T-Junction,TRUE,Hit Object on Road,FALSE,FALSE
BARMERA,2,0,2016,Not Divided,TRUE,Head On,FALSE,FALSE
LAURIE PARK,2,0,2016,Multiple,FALSE,Hit Fixed Object,FALSE,FALSE
EDEN VALLEY,3,0,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
DE ROSE HILL,4,0,2016,Not Divided,TRUE,Rear End,TRUE,FALSE
WILLUNGA,2,0,2016,Not Divided,TRUE,Right Angle,FALSE,FALSE
KEITH,2,0,2016,Not Divided,FALSE,Roll Over,FALSE,FALSE
PORT ADELAIDE,4,0,2016,Cross Road,FALSE,Right Angle,TRUE,TRUE
ST MARYS,3,0,2016,Cross Road,FALSE,Right Turn,FALSE,FALSE
WALKLEY HEIGHTS,2,0,2016,Not Divided,FALSE,Head On,FALSE,FALSE
CLIFTON HILLS STATION,2,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
SWAN REACH,2,0,2016,Not Divided,TRUE,Hit Fixed Object,TRUE,FALSE
DUDLEY PARK,2,0,2016,T-Junction,TRUE,Rear End,FALSE,FALSE
BOOKABIE,2,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
KANGAROO FLAT,9,0,2016,Not Divided,FALSE,Head On,FALSE,FALSE
FREELING,3,0,2016,T-Junction,TRUE,Right Turn,FALSE,FALSE
SALISBURY,2,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,FALSE
COOLTONG,3,0,2016,T-Junction,FALSE,Roll Over,FALSE,FALSE
GLENBURNIE,2,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
BUTE,2,0,2016,Cross Road,FALSE,Hit Fixed Object,FALSE,FALSE
ELIZABETH,2,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
BOOKPURNONG,2,0,2016,Not Divided,FALSE,Side Swipe,FALSE,FALSE
MCCRACKEN,2,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
POINT LOWLY,2,0,2016,Not Divided,TRUE,Hit Parked Vehicle,FALSE,FALSE
WILLUNGA SOUTH,2,0,2016,Divided Road,TRUE,Rear End,FALSE,FALSE
LEAWOOD GARDENS,2,0,2016,Divided Road,TRUE,Head On,FALSE,FALSE
VIRGINIA,2,0,2016,Divided Road,FALSE,Hit Fixed Object,FALSE,FALSE
INGLE FARM,2,0,2016,Not Divided,FALSE,Hit Parked Vehicle,FALSE,TRUE
KOOTABERRA,3,0,2016,Not Divided,FALSE,Roll Over,FALSE,FALSE
SEAFORD MEADOWS,2,0,2016,Divided Road,TRUE,Rear End,FALSE,FALSE
PORT LINCOLN,2,0,2016,Not Divided,TRUE,Rear End,FALSE,FALSE
INGLEWOOD,2,0,2016,Not Divided,FALSE,Roll Over,FALSE,TRUE
PORT AUGUSTA,6,0,2016,Cross Road,FALSE,Right Angle,FALSE,FALSE
HARTLEY,3,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
MURRAY BRIDGE SOUTH,2,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
MOUNT BARKER,3,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
BOWER,2,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
LOWBANK,4,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
MIDDLE RIVER,2,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
TEPKO,2,0,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,TRUE
WHITES VALLEY,3,0,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
TINTINARA,2,0,2016,Not Divided,FALSE,Head On,FALSE,FALSE
NORWOOD,1,0,2016,Divided Road,TRUE,Hit Pedestrian,FALSE,FALSE
ST CLAIR,1,0,2016,Cross Road,TRUE,Right Angle,TRUE,FALSE
HAWTHORN,1,0,2016,Divided Road,TRUE,Rear End,FALSE,FALSE
MOUNT GAMBIER,1,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
SEDAN,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
BOCONNOC PARK,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
GEPPS CROSS,1,0,2016,Cross Road,FALSE,Right Turn,FALSE,FALSE
LOBETHAL,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
STIRLING,2,0,2016,Cross Road,FALSE,Right Angle,FALSE,FALSE
POLTALLOCH,1,0,2016,Not Divided,FALSE,Left Road - Out of Control,FALSE,FALSE
POORAKA,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,FALSE
EVANSTON SOUTH,1,0,2016,Cross Road,TRUE,Hit Fixed Object,FALSE,FALSE
MITCHELL PARK,1,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
CULTANA,1,0,2016,Not Divided,FALSE,Head On,FALSE,FALSE
POORAKA,1,0,2016,Not Divided,FALSE,Roll Over,FALSE,FALSE
MOUNT GAMBIER,2,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
CLAYTON BAY,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
FREELING,1,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
NORTH ADELAIDE,1,0,2016,Cross Road,TRUE,Hit Pedestrian,FALSE,FALSE
WOODSIDE,3,0,2016,Not Divided,TRUE,Head On,FALSE,FALSE
PALMER,1,0,2016,Not Divided,FALSE,Roll Over,FALSE,FALSE
CUMBERLAND PARK,1,0,2016,T-Junction,TRUE,Right Turn,FALSE,FALSE
NURIOOTPA,2,0,2016,T-Junction,TRUE,Right Turn,FALSE,FALSE
ADELAIDE,1,0,2016,Cross Road,TRUE,Right Turn,FALSE,FALSE
MILLICENT,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
AVON,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
WINGFIELD,1,0,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
BORDERTOWN,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
PAYNEHAM,1,0,2016,T-Junction,TRUE,Rear End,FALSE,FALSE
MYLOR,1,0,2016,Not Divided,TRUE,Head On,FALSE,FALSE
BRIGHTON,2,0,2016,Cross Road,FALSE,Right Turn,FALSE,FALSE
SELLICKS BEACH,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
MURRAY BRIDGE,1,0,2016,Ramp On,FALSE,Hit Pedestrian,FALSE,FALSE
MOUNT BARKER,2,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
DE ROSE HILL,2,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
TAILEM BEND,1,0,2016,Not Divided,TRUE,Side Swipe,FALSE,FALSE
CHELTENHAM,2,0,2016,Multiple,FALSE,Right Angle,FALSE,FALSE
YANKALILLA,1,0,2016,Not Divided,TRUE,Head On,FALSE,FALSE
GUMERACHA,4,0,2016,Not Divided,TRUE,Head On,FALSE,FALSE
PORT VICTORIA,1,0,2016,Not Divided,TRUE,Other,FALSE,FALSE
SOMERTON PARK,1,0,2016,Divided Road,FALSE,Hit Pedestrian,FALSE,FALSE
GLENELG NORTH,1,0,2016,Divided Road,TRUE,Rear End,FALSE,FALSE
FINDON,1,0,2016,T-Junction,TRUE,Right Turn,FALSE,FALSE
KIDMAN PARK,2,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
